"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"234","LOO",3,20,100,0.16,0.04,0.2,0.2,0.1
"235","DIC",4,20,100,0.16,0.04,0.2,0.2,0
"236","WAIC",4,20,100,0.16,0.04,0.2,0.2,0
"237","LOO",4,20,100,0.16,0.04,0.2,0.2,0
"238","DIC",5,20,100,0.16,0.04,0.2,0.2,0.24
"239","WAIC",5,20,100,0.16,0.04,0.2,0.2,0.13
"240","LOO",5,20,100,0.16,0.04,0.2,0.2,0.13
"241","DIC",1,50,100,0.16,0.04,0.2,0.2,0.41
"242","WAIC",1,50,100,0.16,0.04,0.2,0.2,0.64
"243","LOO",1,50,100,0.16,0.04,0.2,0.2,0.65
"244","DIC",2,50,100,0.16,0.04,0.2,0.2,0
"245","WAIC",2,50,100,0.16,0.04,0.2,0.2,0
"246","LOO",2,50,100,0.16,0.04,0.2,0.2,0
"247","DIC",3,50,100,0.16,0.04,0.2,0.2,0.32
"248","WAIC",3,50,100,0.16,0.04,0.2,0.2,0.21
"249","LOO",3,50,100,0.16,0.04,0.2,0.2,0.2
"250","DIC",4,50,100,0.16,0.04,0.2,0.2,0
"251","WAIC",4,50,100,0.16,0.04,0.2,0.2,0
"252","LOO",4,50,100,0.16,0.04,0.2,0.2,0
"253","DIC",5,50,100,0.16,0.04,0.2,0.2,0.27
"254","WAIC",5,50,100,0.16,0.04,0.2,0.2,0.15
"255","LOO",5,50,100,0.16,0.04,0.2,0.2,0.15
"256","DIC",1,70,100,0.16,0.04,0.2,0.2,0.43
"257","WAIC",1,70,100,0.16,0.04,0.2,0.2,0.64
"258","LOO",1,70,100,0.16,0.04,0.2,0.2,0.64
"259","DIC",2,70,100,0.16,0.04,0.2,0.2,0
"260","WAIC",2,70,100,0.16,0.04,0.2,0.2,0
"261","LOO",2,70,100,0.16,0.04,0.2,0.2,0
"262","DIC",3,70,100,0.16,0.04,0.2,0.2,0.26
"263","WAIC",3,70,100,0.16,0.04,0.2,0.2,0.16
"264","LOO",3,70,100,0.16,0.04,0.2,0.2,0.16
"265","DIC",4,70,100,0.16,0.04,0.2,0.2,0
"266","WAIC",4,70,100,0.16,0.04,0.2,0.2,0
"267","LOO",4,70,100,0.16,0.04,0.2,0.2,0
"268","DIC",5,70,100,0.16,0.04,0.2,0.2,0.31
"269","WAIC",5,70,100,0.16,0.04,0.2,0.2,0.2
"270","LOO",5,70,100,0.16,0.04,0.2,0.2,0.2
"271","DIC",1,20,10,0.04,0.16,0.2,0.2,0.47
"272","WAIC",1,20,10,0.04,0.16,0.2,0.2,0.52
"273","LOO",1,20,10,0.04,0.16,0.2,0.2,0.6
"274","DIC",2,20,10,0.04,0.16,0.2,0.2,0.01
"275","WAIC",2,20,10,0.04,0.16,0.2,0.2,0.03
"276","LOO",2,20,10,0.04,0.16,0.2,0.2,0.03
"277","DIC",3,20,10,0.04,0.16,0.2,0.2,0.28
"278","WAIC",3,20,10,0.04,0.16,0.2,0.2,0.24
"279","LOO",3,20,10,0.04,0.16,0.2,0.2,0.18
"280","DIC",4,20,10,0.04,0.16,0.2,0.2,0.06
"281","WAIC",4,20,10,0.04,0.16,0.2,0.2,0.07
"282","LOO",4,20,10,0.04,0.16,0.2,0.2,0.08
"283","DIC",5,20,10,0.04,0.16,0.2,0.2,0.18
"284","WAIC",5,20,10,0.04,0.16,0.2,0.2,0.14
"285","LOO",5,20,10,0.04,0.16,0.2,0.2,0.11
"286","DIC",1,50,10,0.04,0.16,0.2,0.2,0.55
"287","WAIC",1,50,10,0.04,0.16,0.2,0.2,0.53
"288","LOO",1,50,10,0.04,0.16,0.2,0.2,0.6
"289","DIC",2,50,10,0.04,0.16,0.2,0.2,0
"290","WAIC",2,50,10,0.04,0.16,0.2,0.2,0
"291","LOO",2,50,10,0.04,0.16,0.2,0.2,0
"292","DIC",3,50,10,0.04,0.16,0.2,0.2,0.25
"293","WAIC",3,50,10,0.04,0.16,0.2,0.2,0.28
"294","LOO",3,50,10,0.04,0.16,0.2,0.2,0.19
"295","DIC",4,50,10,0.04,0.16,0.2,0.2,0
"296","WAIC",4,50,10,0.04,0.16,0.2,0.2,0
"297","LOO",4,50,10,0.04,0.16,0.2,0.2,0
