"","IC","Model","N","J","TAU0","TAU1","G10","G20","p_choose"
"851","WAIC",4,70,10,0.04,0.16,0.4,0.2,0
"852","LOO",4,70,10,0.04,0.16,0.4,0.2,0
"853","DIC",5,70,10,0.04,0.16,0.4,0.2,0.25
"854","WAIC",5,70,10,0.04,0.16,0.4,0.2,0.2
"855","LOO",5,70,10,0.04,0.16,0.4,0.2,0.21
"856","DIC",1,20,50,0.04,0.16,0.4,0.2,0.57
"857","WAIC",1,20,50,0.04,0.16,0.4,0.2,0.68
"858","LOO",1,20,50,0.04,0.16,0.4,0.2,0.68
"859","DIC",2,20,50,0.04,0.16,0.4,0.2,0
"860","WAIC",2,20,50,0.04,0.16,0.4,0.2,0
"861","LOO",2,20,50,0.04,0.16,0.4,0.2,0
"862","DIC",3,20,50,0.04,0.16,0.4,0.2,0.26
"863","WAIC",3,20,50,0.04,0.16,0.4,0.2,0.16
"864","LOO",3,20,50,0.04,0.16,0.4,0.2,0.16
"865","DIC",4,20,50,0.04,0.16,0.4,0.2,0
"866","WAIC",4,20,50,0.04,0.16,0.4,0.2,0
"867","LOO",4,20,50,0.04,0.16,0.4,0.2,0
"868","DIC",5,20,50,0.04,0.16,0.4,0.2,0.17
"869","WAIC",5,20,50,0.04,0.16,0.4,0.2,0.16
"870","LOO",5,20,50,0.04,0.16,0.4,0.2,0.16
"871","DIC",1,50,50,0.04,0.16,0.4,0.2,0.41
"872","WAIC",1,50,50,0.04,0.16,0.4,0.2,0.6
"873","LOO",1,50,50,0.04,0.16,0.4,0.2,0.62
"874","DIC",2,50,50,0.04,0.16,0.4,0.2,0
"875","WAIC",2,50,50,0.04,0.16,0.4,0.2,0
"876","LOO",2,50,50,0.04,0.16,0.4,0.2,0
"877","DIC",3,50,50,0.04,0.16,0.4,0.2,0.32
"878","WAIC",3,50,50,0.04,0.16,0.4,0.2,0.19
"879","LOO",3,50,50,0.04,0.16,0.4,0.2,0.17
"880","DIC",4,50,50,0.04,0.16,0.4,0.2,0
"881","WAIC",4,50,50,0.04,0.16,0.4,0.2,0
"882","LOO",4,50,50,0.04,0.16,0.4,0.2,0
"883","DIC",5,50,50,0.04,0.16,0.4,0.2,0.27
"884","WAIC",5,50,50,0.04,0.16,0.4,0.2,0.21
"885","LOO",5,50,50,0.04,0.16,0.4,0.2,0.21
"886","DIC",1,70,50,0.04,0.16,0.4,0.2,0.49
"887","WAIC",1,70,50,0.04,0.16,0.4,0.2,0.67
"888","LOO",1,70,50,0.04,0.16,0.4,0.2,0.68
"889","DIC",2,70,50,0.04,0.16,0.4,0.2,0
"890","WAIC",2,70,50,0.04,0.16,0.4,0.2,0
"891","LOO",2,70,50,0.04,0.16,0.4,0.2,0
"892","DIC",3,70,50,0.04,0.16,0.4,0.2,0.22
"893","WAIC",3,70,50,0.04,0.16,0.4,0.2,0.13
"894","LOO",3,70,50,0.04,0.16,0.4,0.2,0.12
"895","DIC",4,70,50,0.04,0.16,0.4,0.2,0
"896","WAIC",4,70,50,0.04,0.16,0.4,0.2,0
"897","LOO",4,70,50,0.04,0.16,0.4,0.2,0
"898","DIC",5,70,50,0.04,0.16,0.4,0.2,0.29
"899","WAIC",5,70,50,0.04,0.16,0.4,0.2,0.2
"900","LOO",5,70,50,0.04,0.16,0.4,0.2,0.2
"901","DIC",1,20,100,0.04,0.16,0.4,0.2,0.48
"902","WAIC",1,20,100,0.04,0.16,0.4,0.2,0.68
"903","LOO",1,20,100,0.04,0.16,0.4,0.2,0.68
"904","DIC",2,20,100,0.04,0.16,0.4,0.2,0
"905","WAIC",2,20,100,0.04,0.16,0.4,0.2,0
"906","LOO",2,20,100,0.04,0.16,0.4,0.2,0
"907","DIC",3,20,100,0.04,0.16,0.4,0.2,0.28
"908","WAIC",3,20,100,0.04,0.16,0.4,0.2,0.15
"909","LOO",3,20,100,0.04,0.16,0.4,0.2,0.15
"910","DIC",4,20,100,0.04,0.16,0.4,0.2,0
"911","WAIC",4,20,100,0.04,0.16,0.4,0.2,0
"912","LOO",4,20,100,0.04,0.16,0.4,0.2,0
"913","DIC",5,20,100,0.04,0.16,0.4,0.2,0.24
"914","WAIC",5,20,100,0.04,0.16,0.4,0.2,0.17
"915","LOO",5,20,100,0.04,0.16,0.4,0.2,0.17
"916","DIC",1,50,100,0.04,0.16,0.4,0.2,0.38
"917","WAIC",1,50,100,0.04,0.16,0.4,0.2,0.65
"918","LOO",1,50,100,0.04,0.16,0.4,0.2,0.64
"919","DIC",2,50,100,0.04,0.16,0.4,0.2,0
"920","WAIC",2,50,100,0.04,0.16,0.4,0.2,0
"921","LOO",2,50,100,0.04,0.16,0.4,0.2,0
"922","DIC",3,50,100,0.04,0.16,0.4,0.2,0.28
"923","WAIC",3,50,100,0.04,0.16,0.4,0.2,0.17
"924","LOO",3,50,100,0.04,0.16,0.4,0.2,0.17
"925","DIC",4,50,100,0.04,0.16,0.4,0.2,0
"926","WAIC",4,50,100,0.04,0.16,0.4,0.2,0
"927","LOO",4,50,100,0.04,0.16,0.4,0.2,0
"928","DIC",5,50,100,0.04,0.16,0.4,0.2,0.34
"929","WAIC",5,50,100,0.04,0.16,0.4,0.2,0.18
"930","LOO",5,50,100,0.04,0.16,0.4,0.2,0.19
"931","DIC",1,70,100,0.04,0.16,0.4,0.2,0.53
"932","WAIC",1,70,100,0.04,0.16,0.4,0.2,0.66
"933","LOO",1,70,100,0.04,0.16,0.4,0.2,0.67
"934","DIC",2,70,100,0.04,0.16,0.4,0.2,0
"935","WAIC",2,70,100,0.04,0.16,0.4,0.2,0
"936","LOO",2,70,100,0.04,0.16,0.4,0.2,0
"937","DIC",3,70,100,0.04,0.16,0.4,0.2,0.22
"938","WAIC",3,70,100,0.04,0.16,0.4,0.2,0.17
"939","LOO",3,70,100,0.04,0.16,0.4,0.2,0.17
"940","DIC",4,70,100,0.04,0.16,0.4,0.2,0
"941","WAIC",4,70,100,0.04,0.16,0.4,0.2,0
"942","LOO",4,70,100,0.04,0.16,0.4,0.2,0
"943","DIC",5,70,100,0.04,0.16,0.4,0.2,0.25
"944","WAIC",5,70,100,0.04,0.16,0.4,0.2,0.17
"945","LOO",5,70,100,0.04,0.16,0.4,0.2,0.16
"946","DIC",1,20,10,0.16,0.16,0.4,0.2,0.56
"947","WAIC",1,20,10,0.16,0.16,0.4,0.2,0.57
"948","LOO",1,20,10,0.16,0.16,0.4,0.2,0.63
"949","DIC",2,20,10,0.16,0.16,0.4,0.2,0.02
"950","WAIC",2,20,10,0.16,0.16,0.4,0.2,0.02
"951","LOO",2,20,10,0.16,0.16,0.4,0.2,0.03
"952","DIC",3,20,10,0.16,0.16,0.4,0.2,0.29
"953","WAIC",3,20,10,0.16,0.16,0.4,0.2,0.28
"954","LOO",3,20,10,0.16,0.16,0.4,0.2,0.21
"955","DIC",4,20,10,0.16,0.16,0.4,0.2,0.01
"956","WAIC",4,20,10,0.16,0.16,0.4,0.2,0.01
"957","LOO",4,20,10,0.16,0.16,0.4,0.2,0.01
"958","DIC",5,20,10,0.16,0.16,0.4,0.2,0.12
"959","WAIC",5,20,10,0.16,0.16,0.4,0.2,0.12
"960","LOO",5,20,10,0.16,0.16,0.4,0.2,0.12
"961","DIC",1,50,10,0.16,0.16,0.4,0.2,0.51
"962","WAIC",1,50,10,0.16,0.16,0.4,0.2,0.52
"963","LOO",1,50,10,0.16,0.16,0.4,0.2,0.62
"964","DIC",2,50,10,0.16,0.16,0.4,0.2,0
"965","WAIC",2,50,10,0.16,0.16,0.4,0.2,0
"966","LOO",2,50,10,0.16,0.16,0.4,0.2,0
"967","DIC",3,50,10,0.16,0.16,0.4,0.2,0.3
"968","WAIC",3,50,10,0.16,0.16,0.4,0.2,0.3
"969","LOO",3,50,10,0.16,0.16,0.4,0.2,0.22
"970","DIC",4,50,10,0.16,0.16,0.4,0.2,0
"971","WAIC",4,50,10,0.16,0.16,0.4,0.2,0
"972","LOO",4,50,10,0.16,0.16,0.4,0.2,0
"973","DIC",5,50,10,0.16,0.16,0.4,0.2,0.19
"974","WAIC",5,50,10,0.16,0.16,0.4,0.2,0.18
"975","LOO",5,50,10,0.16,0.16,0.4,0.2,0.16
"976","DIC",1,70,10,0.16,0.16,0.4,0.2,0.44
"977","WAIC",1,70,10,0.16,0.16,0.4,0.2,0.52
"978","LOO",1,70,10,0.16,0.16,0.4,0.2,0.58
"979","DIC",2,70,10,0.16,0.16,0.4,0.2,0
"980","WAIC",2,70,10,0.16,0.16,0.4,0.2,0
"981","LOO",2,70,10,0.16,0.16,0.4,0.2,0
"982","DIC",3,70,10,0.16,0.16,0.4,0.2,0.28
"983","WAIC",3,70,10,0.16,0.16,0.4,0.2,0.24
"984","LOO",3,70,10,0.16,0.16,0.4,0.2,0.17
"985","DIC",4,70,10,0.16,0.16,0.4,0.2,0
"986","WAIC",4,70,10,0.16,0.16,0.4,0.2,0
"987","LOO",4,70,10,0.16,0.16,0.4,0.2,0
"988","DIC",5,70,10,0.16,0.16,0.4,0.2,0.28
"989","WAIC",5,70,10,0.16,0.16,0.4,0.2,0.24
"990","LOO",5,70,10,0.16,0.16,0.4,0.2,0.25
"991","DIC",1,20,50,0.16,0.16,0.4,0.2,0.54
"992","WAIC",1,20,50,0.16,0.16,0.4,0.2,0.73
"993","LOO",1,20,50,0.16,0.16,0.4,0.2,0.73
"994","DIC",2,20,50,0.16,0.16,0.4,0.2,0
"995","WAIC",2,20,50,0.16,0.16,0.4,0.2,0
"996","LOO",2,20,50,0.16,0.16,0.4,0.2,0
"997","DIC",3,20,50,0.16,0.16,0.4,0.2,0.24
"998","WAIC",3,20,50,0.16,0.16,0.4,0.2,0.16
"999","LOO",3,20,50,0.16,0.16,0.4,0.2,0.16
"1000","DIC",4,20,50,0.16,0.16,0.4,0.2,0
"1001","WAIC",4,20,50,0.16,0.16,0.4,0.2,0
"1002","LOO",4,20,50,0.16,0.16,0.4,0.2,0
"1003","DIC",5,20,50,0.16,0.16,0.4,0.2,0.22
"1004","WAIC",5,20,50,0.16,0.16,0.4,0.2,0.11
"1005","LOO",5,20,50,0.16,0.16,0.4,0.2,0.11
"1006","DIC",1,50,50,0.16,0.16,0.4,0.2,0.5
"1007","WAIC",1,50,50,0.16,0.16,0.4,0.2,0.6
"1008","LOO",1,50,50,0.16,0.16,0.4,0.2,0.62
"1009","DIC",2,50,50,0.16,0.16,0.4,0.2,0
"1010","WAIC",2,50,50,0.16,0.16,0.4,0.2,0
"1011","LOO",2,50,50,0.16,0.16,0.4,0.2,0
"1012","DIC",3,50,50,0.16,0.16,0.4,0.2,0.3
"1013","WAIC",3,50,50,0.16,0.16,0.4,0.2,0.21
"1014","LOO",3,50,50,0.16,0.16,0.4,0.2,0.19
"1015","DIC",4,50,50,0.16,0.16,0.4,0.2,0
"1016","WAIC",4,50,50,0.16,0.16,0.4,0.2,0
"1017","LOO",4,50,50,0.16,0.16,0.4,0.2,0
"1018","DIC",5,50,50,0.16,0.16,0.4,0.2,0.2
"1019","WAIC",5,50,50,0.16,0.16,0.4,0.2,0.19
"1020","LOO",5,50,50,0.16,0.16,0.4,0.2,0.19
"1021","DIC",1,70,50,0.16,0.16,0.4,0.2,0.45
"1022","WAIC",1,70,50,0.16,0.16,0.4,0.2,0.6
"1023","LOO",1,70,50,0.16,0.16,0.4,0.2,0.6
"1024","DIC",2,70,50,0.16,0.16,0.4,0.2,0
"1025","WAIC",2,70,50,0.16,0.16,0.4,0.2,0
"1026","LOO",2,70,50,0.16,0.16,0.4,0.2,0
"1027","DIC",3,70,50,0.16,0.16,0.4,0.2,0.32
"1028","WAIC",3,70,50,0.16,0.16,0.4,0.2,0.21
"1029","LOO",3,70,50,0.16,0.16,0.4,0.2,0.2
"1030","DIC",4,70,50,0.16,0.16,0.4,0.2,0
"1031","WAIC",4,70,50,0.16,0.16,0.4,0.2,0
"1032","LOO",4,70,50,0.16,0.16,0.4,0.2,0
"1033","DIC",5,70,50,0.16,0.16,0.4,0.2,0.23
"1034","WAIC",5,70,50,0.16,0.16,0.4,0.2,0.19
"1035","LOO",5,70,50,0.16,0.16,0.4,0.2,0.2
"1036","DIC",1,20,100,0.16,0.16,0.4,0.2,0.41
"1037","WAIC",1,20,100,0.16,0.16,0.4,0.2,0.63
"1038","LOO",1,20,100,0.16,0.16,0.4,0.2,0.63
"1039","DIC",2,20,100,0.16,0.16,0.4,0.2,0
"1040","WAIC",2,20,100,0.16,0.16,0.4,0.2,0
"1041","LOO",2,20,100,0.16,0.16,0.4,0.2,0
"1042","DIC",3,20,100,0.16,0.16,0.4,0.2,0.33
"1043","WAIC",3,20,100,0.16,0.16,0.4,0.2,0.17
"1044","LOO",3,20,100,0.16,0.16,0.4,0.2,0.17
"1045","DIC",4,20,100,0.16,0.16,0.4,0.2,0
"1046","WAIC",4,20,100,0.16,0.16,0.4,0.2,0
"1047","LOO",4,20,100,0.16,0.16,0.4,0.2,0
"1048","DIC",5,20,100,0.16,0.16,0.4,0.2,0.26
"1049","WAIC",5,20,100,0.16,0.16,0.4,0.2,0.2
"1050","LOO",5,20,100,0.16,0.16,0.4,0.2,0.2
"1051","DIC",1,50,100,0.16,0.16,0.4,0.2,0.48
"1052","WAIC",1,50,100,0.16,0.16,0.4,0.2,0.67
"1053","LOO",1,50,100,0.16,0.16,0.4,0.2,0.66
"1054","DIC",2,50,100,0.16,0.16,0.4,0.2,0
"1055","WAIC",2,50,100,0.16,0.16,0.4,0.2,0
"1056","LOO",2,50,100,0.16,0.16,0.4,0.2,0
"1057","DIC",3,50,100,0.16,0.16,0.4,0.2,0.28
"1058","WAIC",3,50,100,0.16,0.16,0.4,0.2,0.16
"1059","LOO",3,50,100,0.16,0.16,0.4,0.2,0.16
"1060","DIC",4,50,100,0.16,0.16,0.4,0.2,0
"1061","WAIC",4,50,100,0.16,0.16,0.4,0.2,0
"1062","LOO",4,50,100,0.16,0.16,0.4,0.2,0
"1063","DIC",5,50,100,0.16,0.16,0.4,0.2,0.24
"1064","WAIC",5,50,100,0.16,0.16,0.4,0.2,0.17
"1065","LOO",5,50,100,0.16,0.16,0.4,0.2,0.18
"1066","DIC",1,70,100,0.16,0.16,0.4,0.2,0.5
"1067","WAIC",1,70,100,0.16,0.16,0.4,0.2,0.64
"1068","LOO",1,70,100,0.16,0.16,0.4,0.2,0.66
"1069","DIC",2,70,100,0.16,0.16,0.4,0.2,0
"1070","WAIC",2,70,100,0.16,0.16,0.4,0.2,0
"1071","LOO",2,70,100,0.16,0.16,0.4,0.2,0
"1072","DIC",3,70,100,0.16,0.16,0.4,0.2,0.24
"1073","WAIC",3,70,100,0.16,0.16,0.4,0.2,0.2
"1074","LOO",3,70,100,0.16,0.16,0.4,0.2,0.18
"1075","DIC",4,70,100,0.16,0.16,0.4,0.2,0
"1076","WAIC",4,70,100,0.16,0.16,0.4,0.2,0
"1077","LOO",4,70,100,0.16,0.16,0.4,0.2,0
"1078","DIC",5,70,100,0.16,0.16,0.4,0.2,0.26
"1079","WAIC",5,70,100,0.16,0.16,0.4,0.2,0.16
"1080","LOO",5,70,100,0.16,0.16,0.4,0.2,0.16
"1081","DIC",1,20,10,0.04,0.04,0.2,0.4,0.32
"1082","WAIC",1,20,10,0.04,0.04,0.2,0.4,0.28
"1083","LOO",1,20,10,0.04,0.04,0.2,0.4,0.3
"1084","DIC",2,20,10,0.04,0.04,0.2,0.4,0.35
"1085","WAIC",2,20,10,0.04,0.04,0.2,0.4,0.36
"1086","LOO",2,20,10,0.04,0.04,0.2,0.4,0.41
"1087","DIC",3,20,10,0.04,0.04,0.2,0.4,0.2
"1088","WAIC",3,20,10,0.04,0.04,0.2,0.4,0.19
"1089","LOO",3,20,10,0.04,0.04,0.2,0.4,0.14
"1090","DIC",4,20,10,0.04,0.04,0.2,0.4,0
"1091","WAIC",4,20,10,0.04,0.04,0.2,0.4,0
"1092","LOO",4,20,10,0.04,0.04,0.2,0.4,0
"1093","DIC",5,20,10,0.04,0.04,0.2,0.4,0.13
"1094","WAIC",5,20,10,0.04,0.04,0.2,0.4,0.17
"1095","LOO",5,20,10,0.04,0.04,0.2,0.4,0.15
"1096","DIC",1,50,10,0.04,0.04,0.2,0.4,0.39
"1097","WAIC",1,50,10,0.04,0.04,0.2,0.4,0.48
"1098","LOO",1,50,10,0.04,0.04,0.2,0.4,0.52
"1099","DIC",2,50,10,0.04,0.04,0.2,0.4,0.11
"1100","WAIC",2,50,10,0.04,0.04,0.2,0.4,0.11
"1101","LOO",2,50,10,0.04,0.04,0.2,0.4,0.17
"1102","DIC",3,50,10,0.04,0.04,0.2,0.4,0.31
"1103","WAIC",3,50,10,0.04,0.04,0.2,0.4,0.24
"1104","LOO",3,50,10,0.04,0.04,0.2,0.4,0.14
"1105","DIC",4,50,10,0.04,0.04,0.2,0.4,0
"1106","WAIC",4,50,10,0.04,0.04,0.2,0.4,0
"1107","LOO",4,50,10,0.04,0.04,0.2,0.4,0
"1108","DIC",5,50,10,0.04,0.04,0.2,0.4,0.19
"1109","WAIC",5,50,10,0.04,0.04,0.2,0.4,0.17
"1110","LOO",5,50,10,0.04,0.04,0.2,0.4,0.17
"1111","DIC",1,70,10,0.04,0.04,0.2,0.4,0.55
"1112","WAIC",1,70,10,0.04,0.04,0.2,0.4,0.6
"1113","LOO",1,70,10,0.04,0.04,0.2,0.4,0.63
"1114","DIC",2,70,10,0.04,0.04,0.2,0.4,0.08
"1115","WAIC",2,70,10,0.04,0.04,0.2,0.4,0.11
"1116","LOO",2,70,10,0.04,0.04,0.2,0.4,0.11
"1117","DIC",3,70,10,0.04,0.04,0.2,0.4,0.22
"1118","WAIC",3,70,10,0.04,0.04,0.2,0.4,0.16
"1119","LOO",3,70,10,0.04,0.04,0.2,0.4,0.12
"1120","DIC",4,70,10,0.04,0.04,0.2,0.4,0
"1121","WAIC",4,70,10,0.04,0.04,0.2,0.4,0
"1122","LOO",4,70,10,0.04,0.04,0.2,0.4,0
"1123","DIC",5,70,10,0.04,0.04,0.2,0.4,0.15
"1124","WAIC",5,70,10,0.04,0.04,0.2,0.4,0.13
"1125","LOO",5,70,10,0.04,0.04,0.2,0.4,0.14
"1126","DIC",1,20,50,0.04,0.04,0.2,0.4,0.53
"1127","WAIC",1,20,50,0.04,0.04,0.2,0.4,0.76
"1128","LOO",1,20,50,0.04,0.04,0.2,0.4,0.76
"1129","DIC",2,20,50,0.04,0.04,0.2,0.4,0.02
"1130","WAIC",2,20,50,0.04,0.04,0.2,0.4,0
"1131","LOO",2,20,50,0.04,0.04,0.2,0.4,0.01
"1132","DIC",3,20,50,0.04,0.04,0.2,0.4,0.21
"1133","WAIC",3,20,50,0.04,0.04,0.2,0.4,0.1
"1134","LOO",3,20,50,0.04,0.04,0.2,0.4,0.09
"1135","DIC",4,20,50,0.04,0.04,0.2,0.4,0
"1136","WAIC",4,20,50,0.04,0.04,0.2,0.4,0
"1137","LOO",4,20,50,0.04,0.04,0.2,0.4,0
"1138","DIC",5,20,50,0.04,0.04,0.2,0.4,0.24
"1139","WAIC",5,20,50,0.04,0.04,0.2,0.4,0.14
"1140","LOO",5,20,50,0.04,0.04,0.2,0.4,0.14
"1141","DIC",1,50,50,0.04,0.04,0.2,0.4,0.54
"1142","WAIC",1,50,50,0.04,0.04,0.2,0.4,0.62
"1143","LOO",1,50,50,0.04,0.04,0.2,0.4,0.62
"1144","DIC",2,50,50,0.04,0.04,0.2,0.4,0
"1145","WAIC",2,50,50,0.04,0.04,0.2,0.4,0
"1146","LOO",2,50,50,0.04,0.04,0.2,0.4,0
"1147","DIC",3,50,50,0.04,0.04,0.2,0.4,0.24
"1148","WAIC",3,50,50,0.04,0.04,0.2,0.4,0.15
"1149","LOO",3,50,50,0.04,0.04,0.2,0.4,0.15
"1150","DIC",4,50,50,0.04,0.04,0.2,0.4,0
"1151","WAIC",4,50,50,0.04,0.04,0.2,0.4,0
"1152","LOO",4,50,50,0.04,0.04,0.2,0.4,0
"1153","DIC",5,50,50,0.04,0.04,0.2,0.4,0.22
"1154","WAIC",5,50,50,0.04,0.04,0.2,0.4,0.23
"1155","LOO",5,50,50,0.04,0.04,0.2,0.4,0.23
"1156","DIC",1,70,50,0.04,0.04,0.2,0.4,0.48
"1157","WAIC",1,70,50,0.04,0.04,0.2,0.4,0.62
"1158","LOO",1,70,50,0.04,0.04,0.2,0.4,0.62
"1159","DIC",2,70,50,0.04,0.04,0.2,0.4,0
"1160","WAIC",2,70,50,0.04,0.04,0.2,0.4,0
"1161","LOO",2,70,50,0.04,0.04,0.2,0.4,0
"1162","DIC",3,70,50,0.04,0.04,0.2,0.4,0.23
"1163","WAIC",3,70,50,0.04,0.04,0.2,0.4,0.19
"1164","LOO",3,70,50,0.04,0.04,0.2,0.4,0.19
"1165","DIC",4,70,50,0.04,0.04,0.2,0.4,0
"1166","WAIC",4,70,50,0.04,0.04,0.2,0.4,0
"1167","LOO",4,70,50,0.04,0.04,0.2,0.4,0
"1168","DIC",5,70,50,0.04,0.04,0.2,0.4,0.29
"1169","WAIC",5,70,50,0.04,0.04,0.2,0.4,0.19
"1170","LOO",5,70,50,0.04,0.04,0.2,0.4,0.19
"1171","DIC",1,20,100,0.04,0.04,0.2,0.4,0.5
"1172","WAIC",1,20,100,0.04,0.04,0.2,0.4,0.65
"1173","LOO",1,20,100,0.04,0.04,0.2,0.4,0.65
"1174","DIC",2,20,100,0.04,0.04,0.2,0.4,0
"1175","WAIC",2,20,100,0.04,0.04,0.2,0.4,0.01
"1176","LOO",2,20,100,0.04,0.04,0.2,0.4,0.01
"1177","DIC",3,20,100,0.04,0.04,0.2,0.4,0.28
"1178","WAIC",3,20,100,0.04,0.04,0.2,0.4,0.19
"1179","LOO",3,20,100,0.04,0.04,0.2,0.4,0.18
"1180","DIC",4,20,100,0.04,0.04,0.2,0.4,0
"1181","WAIC",4,20,100,0.04,0.04,0.2,0.4,0
"1182","LOO",4,20,100,0.04,0.04,0.2,0.4,0
"1183","DIC",5,20,100,0.04,0.04,0.2,0.4,0.22
"1184","WAIC",5,20,100,0.04,0.04,0.2,0.4,0.15
"1185","LOO",5,20,100,0.04,0.04,0.2,0.4,0.16
"1186","DIC",1,50,100,0.04,0.04,0.2,0.4,0.52
"1187","WAIC",1,50,100,0.04,0.04,0.2,0.4,0.61
"1188","LOO",1,50,100,0.04,0.04,0.2,0.4,0.63
"1189","DIC",2,50,100,0.04,0.04,0.2,0.4,0
"1190","WAIC",2,50,100,0.04,0.04,0.2,0.4,0
"1191","LOO",2,50,100,0.04,0.04,0.2,0.4,0
"1192","DIC",3,50,100,0.04,0.04,0.2,0.4,0.28
"1193","WAIC",3,50,100,0.04,0.04,0.2,0.4,0.22
"1194","LOO",3,50,100,0.04,0.04,0.2,0.4,0.2
"1195","DIC",4,50,100,0.04,0.04,0.2,0.4,0
"1196","WAIC",4,50,100,0.04,0.04,0.2,0.4,0
"1197","LOO",4,50,100,0.04,0.04,0.2,0.4,0
"1198","DIC",5,50,100,0.04,0.04,0.2,0.4,0.2
"1199","WAIC",5,50,100,0.04,0.04,0.2,0.4,0.17
"1200","LOO",5,50,100,0.04,0.04,0.2,0.4,0.17
"1201","DIC",1,70,100,0.04,0.04,0.2,0.4,0.42
"1202","WAIC",1,70,100,0.04,0.04,0.2,0.4,0.64
"1203","LOO",1,70,100,0.04,0.04,0.2,0.4,0.65
"1204","DIC",2,70,100,0.04,0.04,0.2,0.4,0
"1205","WAIC",2,70,100,0.04,0.04,0.2,0.4,0
"1206","LOO",2,70,100,0.04,0.04,0.2,0.4,0
"1207","DIC",3,70,100,0.04,0.04,0.2,0.4,0.26
"1208","WAIC",3,70,100,0.04,0.04,0.2,0.4,0.18
"1209","LOO",3,70,100,0.04,0.04,0.2,0.4,0.17
"1210","DIC",4,70,100,0.04,0.04,0.2,0.4,0
"1211","WAIC",4,70,100,0.04,0.04,0.2,0.4,0
"1212","LOO",4,70,100,0.04,0.04,0.2,0.4,0
"1213","DIC",5,70,100,0.04,0.04,0.2,0.4,0.32
"1214","WAIC",5,70,100,0.04,0.04,0.2,0.4,0.18
"1215","LOO",5,70,100,0.04,0.04,0.2,0.4,0.18
"1216","DIC",1,20,10,0.16,0.04,0.2,0.4,0.49
"1217","WAIC",1,20,10,0.16,0.04,0.2,0.4,0.47
"1218","LOO",1,20,10,0.16,0.04,0.2,0.4,0.51
"1219","DIC",2,20,10,0.16,0.04,0.2,0.4,0.18
"1220","WAIC",2,20,10,0.16,0.04,0.2,0.4,0.21
"1221","LOO",2,20,10,0.16,0.04,0.2,0.4,0.24
"1222","DIC",3,20,10,0.16,0.04,0.2,0.4,0.21
"1223","WAIC",3,20,10,0.16,0.04,0.2,0.4,0.21
"1224","LOO",3,20,10,0.16,0.04,0.2,0.4,0.13
"1225","DIC",4,20,10,0.16,0.04,0.2,0.4,0
"1226","WAIC",4,20,10,0.16,0.04,0.2,0.4,0
"1227","LOO",4,20,10,0.16,0.04,0.2,0.4,0
"1228","DIC",5,20,10,0.16,0.04,0.2,0.4,0.12
"1229","WAIC",5,20,10,0.16,0.04,0.2,0.4,0.11
"1230","LOO",5,20,10,0.16,0.04,0.2,0.4,0.12
"1231","DIC",1,50,10,0.16,0.04,0.2,0.4,0.46
"1232","WAIC",1,50,10,0.16,0.04,0.2,0.4,0.52
"1233","LOO",1,50,10,0.16,0.04,0.2,0.4,0.54
"1234","DIC",2,50,10,0.16,0.04,0.2,0.4,0.1
"1235","WAIC",2,50,10,0.16,0.04,0.2,0.4,0.12
"1236","LOO",2,50,10,0.16,0.04,0.2,0.4,0.2
"1237","DIC",3,50,10,0.16,0.04,0.2,0.4,0.28
"1238","WAIC",3,50,10,0.16,0.04,0.2,0.4,0.25
"1239","LOO",3,50,10,0.16,0.04,0.2,0.4,0.17
"1240","DIC",4,50,10,0.16,0.04,0.2,0.4,0
"1241","WAIC",4,50,10,0.16,0.04,0.2,0.4,0
"1242","LOO",4,50,10,0.16,0.04,0.2,0.4,0
"1243","DIC",5,50,10,0.16,0.04,0.2,0.4,0.16
"1244","WAIC",5,50,10,0.16,0.04,0.2,0.4,0.11
"1245","LOO",5,50,10,0.16,0.04,0.2,0.4,0.09
"1246","DIC",1,70,10,0.16,0.04,0.2,0.4,0.45
"1247","WAIC",1,70,10,0.16,0.04,0.2,0.4,0.49
"1248","LOO",1,70,10,0.16,0.04,0.2,0.4,0.64
"1249","DIC",2,70,10,0.16,0.04,0.2,0.4,0.02
"1250","WAIC",2,70,10,0.16,0.04,0.2,0.4,0.04
"1251","LOO",2,70,10,0.16,0.04,0.2,0.4,0.05
"1252","DIC",3,70,10,0.16,0.04,0.2,0.4,0.34
"1253","WAIC",3,70,10,0.16,0.04,0.2,0.4,0.31
"1254","LOO",3,70,10,0.16,0.04,0.2,0.4,0.15
"1255","DIC",4,70,10,0.16,0.04,0.2,0.4,0
"1256","WAIC",4,70,10,0.16,0.04,0.2,0.4,0
"1257","LOO",4,70,10,0.16,0.04,0.2,0.4,0
"1258","DIC",5,70,10,0.16,0.04,0.2,0.4,0.19
"1259","WAIC",5,70,10,0.16,0.04,0.2,0.4,0.16
"1260","LOO",5,70,10,0.16,0.04,0.2,0.4,0.16
"1261","DIC",1,20,50,0.16,0.04,0.2,0.4,0.56
"1262","WAIC",1,20,50,0.16,0.04,0.2,0.4,0.69
"1263","LOO",1,20,50,0.16,0.04,0.2,0.4,0.7
"1264","DIC",2,20,50,0.16,0.04,0.2,0.4,0.01
"1265","WAIC",2,20,50,0.16,0.04,0.2,0.4,0.01
"1266","LOO",2,20,50,0.16,0.04,0.2,0.4,0.01
"1267","DIC",3,20,50,0.16,0.04,0.2,0.4,0.17
"1268","WAIC",3,20,50,0.16,0.04,0.2,0.4,0.12
"1269","LOO",3,20,50,0.16,0.04,0.2,0.4,0.12
