"","IC","Model","marg","N","J","TAU0","TAU1","G10","G20","p_choose"
"183","LOO",1,20,50,0.16,0.04,0.2,0.2,0,0.65
"184","DIC",2,20,50,0.16,0.04,0.2,0.2,0,0.01
"185","WAIC",2,20,50,0.16,0.04,0.2,0.2,0,0.01
"186","LOO",2,20,50,0.16,0.04,0.2,0.2,0,0.01
"187","DIC",3,20,50,0.16,0.04,0.2,0.2,0,0.22
"188","WAIC",3,20,50,0.16,0.04,0.2,0.2,0,0.14
"189","LOO",3,20,50,0.16,0.04,0.2,0.2,0,0.13
"190","DIC",4,20,50,0.16,0.04,0.2,0.2,0,0
"191","WAIC",4,20,50,0.16,0.04,0.2,0.2,0,0
"192","LOO",4,20,50,0.16,0.04,0.2,0.2,0,0
"193","DIC",5,20,50,0.16,0.04,0.2,0.2,0,0.28
"194","WAIC",5,20,50,0.16,0.04,0.2,0.2,0,0.21
"195","LOO",5,20,50,0.16,0.04,0.2,0.2,0,0.21
"196","DIC",1,50,50,0.16,0.04,0.2,0.2,0,0.49
"197","WAIC",1,50,50,0.16,0.04,0.2,0.2,0,0.65
"198","LOO",1,50,50,0.16,0.04,0.2,0.2,0,0.65
"199","DIC",2,50,50,0.16,0.04,0.2,0.2,0,0
"200","WAIC",2,50,50,0.16,0.04,0.2,0.2,0,0
"201","LOO",2,50,50,0.16,0.04,0.2,0.2,0,0
"202","DIC",3,50,50,0.16,0.04,0.2,0.2,0,0.16
"203","WAIC",3,50,50,0.16,0.04,0.2,0.2,0,0.11
"204","LOO",3,50,50,0.16,0.04,0.2,0.2,0,0.11
"205","DIC",4,50,50,0.16,0.04,0.2,0.2,0,0
"206","WAIC",4,50,50,0.16,0.04,0.2,0.2,0,0
"207","LOO",4,50,50,0.16,0.04,0.2,0.2,0,0
"208","DIC",5,50,50,0.16,0.04,0.2,0.2,0,0.35
"209","WAIC",5,50,50,0.16,0.04,0.2,0.2,0,0.24
"210","LOO",5,50,50,0.16,0.04,0.2,0.2,0,0.24
"211","DIC",1,70,50,0.16,0.04,0.2,0.2,0,0.55
"212","WAIC",1,70,50,0.16,0.04,0.2,0.2,0,0.7
"213","LOO",1,70,50,0.16,0.04,0.2,0.2,0,0.71
"214","DIC",2,70,50,0.16,0.04,0.2,0.2,0,0
"215","WAIC",2,70,50,0.16,0.04,0.2,0.2,0,0
"216","LOO",2,70,50,0.16,0.04,0.2,0.2,0,0
"217","DIC",3,70,50,0.16,0.04,0.2,0.2,0,0.23
"218","WAIC",3,70,50,0.16,0.04,0.2,0.2,0,0.16
"219","LOO",3,70,50,0.16,0.04,0.2,0.2,0,0.15
"220","DIC",4,70,50,0.16,0.04,0.2,0.2,0,0
"221","WAIC",4,70,50,0.16,0.04,0.2,0.2,0,0
"222","LOO",4,70,50,0.16,0.04,0.2,0.2,0,0
"223","DIC",5,70,50,0.16,0.04,0.2,0.2,0,0.22
"224","WAIC",5,70,50,0.16,0.04,0.2,0.2,0,0.14
"225","LOO",5,70,50,0.16,0.04,0.2,0.2,0,0.14
"226","DIC",1,20,100,0.16,0.04,0.2,0.2,0,0.45
"227","WAIC",1,20,100,0.16,0.04,0.2,0.2,0,0.69
"228","LOO",1,20,100,0.16,0.04,0.2,0.2,0,0.69
"229","DIC",2,20,100,0.16,0.04,0.2,0.2,0,0
"230","WAIC",2,20,100,0.16,0.04,0.2,0.2,0,0
"231","LOO",2,20,100,0.16,0.04,0.2,0.2,0,0
"232","DIC",3,20,100,0.16,0.04,0.2,0.2,0,0.21
"233","WAIC",3,20,100,0.16,0.04,0.2,0.2,0,0.13
"234","LOO",3,20,100,0.16,0.04,0.2,0.2,0,0.13
"235","DIC",4,20,100,0.16,0.04,0.2,0.2,0,0
"236","WAIC",4,20,100,0.16,0.04,0.2,0.2,0,0
"237","LOO",4,20,100,0.16,0.04,0.2,0.2,0,0
"238","DIC",5,20,100,0.16,0.04,0.2,0.2,0,0.34
"239","WAIC",5,20,100,0.16,0.04,0.2,0.2,0,0.18
"240","LOO",5,20,100,0.16,0.04,0.2,0.2,0,0.18
"241","DIC",1,50,100,0.16,0.04,0.2,0.2,0,0.44
"242","WAIC",1,50,100,0.16,0.04,0.2,0.2,0,0.61
"243","LOO",1,50,100,0.16,0.04,0.2,0.2,0,0.62
"244","DIC",2,50,100,0.16,0.04,0.2,0.2,0,0
"245","WAIC",2,50,100,0.16,0.04,0.2,0.2,0,0
"246","LOO",2,50,100,0.16,0.04,0.2,0.2,0,0
"247","DIC",3,50,100,0.16,0.04,0.2,0.2,0,0.22
"248","WAIC",3,50,100,0.16,0.04,0.2,0.2,0,0.19
"249","LOO",3,50,100,0.16,0.04,0.2,0.2,0,0.18
"250","DIC",4,50,100,0.16,0.04,0.2,0.2,0,0
"251","WAIC",4,50,100,0.16,0.04,0.2,0.2,0,0
"252","LOO",4,50,100,0.16,0.04,0.2,0.2,0,0
"253","DIC",5,50,100,0.16,0.04,0.2,0.2,0,0.34
"254","WAIC",5,50,100,0.16,0.04,0.2,0.2,0,0.2
"255","LOO",5,50,100,0.16,0.04,0.2,0.2,0,0.2
"256","DIC",1,70,100,0.16,0.04,0.2,0.2,0,0.43
"257","WAIC",1,70,100,0.16,0.04,0.2,0.2,0,0.64
"258","LOO",1,70,100,0.16,0.04,0.2,0.2,0,0.64
"259","DIC",2,70,100,0.16,0.04,0.2,0.2,0,0
"260","WAIC",2,70,100,0.16,0.04,0.2,0.2,0,0
"261","LOO",2,70,100,0.16,0.04,0.2,0.2,0,0
"262","DIC",3,70,100,0.16,0.04,0.2,0.2,0,0.26
"263","WAIC",3,70,100,0.16,0.04,0.2,0.2,0,0.16
"264","LOO",3,70,100,0.16,0.04,0.2,0.2,0,0.16
"265","DIC",4,70,100,0.16,0.04,0.2,0.2,0,0
"266","WAIC",4,70,100,0.16,0.04,0.2,0.2,0,0
"267","LOO",4,70,100,0.16,0.04,0.2,0.2,0,0
"268","DIC",5,70,100,0.16,0.04,0.2,0.2,0,0.31
"269","WAIC",5,70,100,0.16,0.04,0.2,0.2,0,0.2
"270","LOO",5,70,100,0.16,0.04,0.2,0.2,0,0.2
"271","DIC",1,20,10,0.04,0.16,0.2,0.2,0,0.53
"272","WAIC",1,20,10,0.04,0.16,0.2,0.2,0,0.59
"273","LOO",1,20,10,0.04,0.16,0.2,0.2,0,0.62
"274","DIC",2,20,10,0.04,0.16,0.2,0.2,0,0.04
"275","WAIC",2,20,10,0.04,0.16,0.2,0.2,0,0.05
"276","LOO",2,20,10,0.04,0.16,0.2,0.2,0,0.05
"277","DIC",3,20,10,0.04,0.16,0.2,0.2,0,0.25
"278","WAIC",3,20,10,0.04,0.16,0.2,0.2,0,0.18
"279","LOO",3,20,10,0.04,0.16,0.2,0.2,0,0.15
"280","DIC",4,20,10,0.04,0.16,0.2,0.2,0,0.04
"281","WAIC",4,20,10,0.04,0.16,0.2,0.2,0,0.03
"282","LOO",4,20,10,0.04,0.16,0.2,0.2,0,0.03
"283","DIC",5,20,10,0.04,0.16,0.2,0.2,0,0.14
"284","WAIC",5,20,10,0.04,0.16,0.2,0.2,0,0.15
"285","LOO",5,20,10,0.04,0.16,0.2,0.2,0,0.15
"286","DIC",1,50,10,0.04,0.16,0.2,0.2,0,0.54
"287","WAIC",1,50,10,0.04,0.16,0.2,0.2,0,0.56
"288","LOO",1,50,10,0.04,0.16,0.2,0.2,0,0.63
"289","DIC",2,50,10,0.04,0.16,0.2,0.2,0,0
"290","WAIC",2,50,10,0.04,0.16,0.2,0.2,0,0
"291","LOO",2,50,10,0.04,0.16,0.2,0.2,0,0
"292","DIC",3,50,10,0.04,0.16,0.2,0.2,0,0.3
"293","WAIC",3,50,10,0.04,0.16,0.2,0.2,0,0.28
"294","LOO",3,50,10,0.04,0.16,0.2,0.2,0,0.21
"295","DIC",4,50,10,0.04,0.16,0.2,0.2,0,0
"296","WAIC",4,50,10,0.04,0.16,0.2,0.2,0,0
"297","LOO",4,50,10,0.04,0.16,0.2,0.2,0,0
"298","DIC",5,50,10,0.04,0.16,0.2,0.2,0,0.16
"299","WAIC",5,50,10,0.04,0.16,0.2,0.2,0,0.16
"300","LOO",5,50,10,0.04,0.16,0.2,0.2,0,0.16
"301","DIC",1,70,10,0.04,0.16,0.2,0.2,0,0.49
"302","WAIC",1,70,10,0.04,0.16,0.2,0.2,0,0.57
