"","N","J","G00","TAU0","G10","TAU1","G20","TAU2","G30","TAU3","RHO01","RHO02","RHO12","X1_mu","X2_mu","X3_mu","X1_sd","X2_sd","X3_sd","S","nchain","niter","burn","thin","marg","SIG2","Y.fixed","Y.rand","Y.int","Y.e","varY"
"52",20,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"53",50,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"54",70,100,1,0.16,0.2,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.08,0.16,0.16,0.6,1
"55",20,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"56",50,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"57",70,10,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"58",20,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"59",50,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"60",70,50,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"61",20,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"62",50,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"63",70,100,1,0.04,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.16,0.04,0.6,1
"64",20,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"65",50,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"66",70,10,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"67",20,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"68",50,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"69",70,50,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"70",20,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"71",50,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"72",70,100,1,0.16,0.4,0.16,0.2,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.48,0.2,0.16,0.16,0.48,1
"73",20,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"74",50,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"75",70,10,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"76",20,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"77",50,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"78",70,50,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"79",20,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"80",50,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"81",70,100,1,0.04,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.72,0.2,0.04,0.04,0.72,1
"82",20,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"83",50,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"84",70,10,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"85",20,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"86",50,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"87",70,50,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"88",20,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"89",50,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"90",70,100,1,0.16,0.2,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.2,0.04,0.16,0.6,1
"91",20,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"92",50,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"93",70,10,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
"94",20,50,1,0.04,0.4,0.04,0.4,0,0,0,0.1,0,0,0,0,0,1,1,1,100,2,3000,1000,1,0,0.6,0.32,0.04,0.04,0.6,1
